label,message
ham,Hey are you coming to college today?
ham,Can you send me the class notes?
ham,Hi how are you?
ham,Let's meet tomorrow morning.
ham,Please call me when you are free.
ham,What time is the class today?
ham,I will send the assignment tonight.
ham,Are you coming to the lab?
ham,Happy birthday have a great day!
ham,Can you help me with this problem?
spam,Congratulations! You won a free prize!
spam,You have won a cash reward! Claim now!
spam,Click here to get your free gift!
spam,WIN money now! Limited time offer!
spam,Congratulations you are selected for a special offer!
spam,You have won a lottery prize!
spam,Get FREE tickets now! Click the link!
spam,Claim your cash reward immediately!
spam,Exclusive offer! You are a lucky winner!
spam,Win a free smartphone today!
